genes,uid,snp_class,fxn_class,chr,chrpos,global_mafs,allele,clinical_significance,acc
"[1] ""NR1D2""
",113730632,snv,intron_variant,3,3:23951314," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""       ""Siberian""      
 [9] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000003.12
"[1] ""DENND2B""
",34105455,snv,"intron_variant,genic_upstream_transcript_variant",11,11:8882396," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",R,,NC_000011.10
,2956605,snv,,8,8:74970819," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000008.11
"[1] ""LINC02885""
",5755468,snv,intron_variant,22,22:34970241," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000022.11
"[1] ""LOC102724036""
",148603475,snv,"intron_variant,genic_downstream_transcript_variant",9,9:84627637," [1] ""1000Genomes""    ""Estonian""       ""GnomAD""         ""GoNL""          
 [5] ""KOREAN""         ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""TOMMO""          ""TOPMED""         ""ALFA""          
",Y,,NC_000009.12
,1124933,snv,,20,20:18097908," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOGRAPHIC""    ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HGDP_Stanford""  ""HapMap""         ""KOREAN""         ""NorthernSweden""
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000020.11
"[1] ""AACS""         ""LOC105370052""
",6488987,snv,"upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant,non_coding_transcript_variant",12,12:125083207," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",H,,NC_000012.12
,17092224,snv,,11,11:107127349," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",S,,NC_000011.10
,224750,snv,,10,10:33942102," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HGDP_Stanford""  ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000010.11
"[1] ""MCTP2""
",11634227,snv,"genic_upstream_transcript_variant,intron_variant",15,15:94318611," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HGDP_Stanford"" 
 [9] ""HapMap""         ""KOREAN""         ""Korea1K""        ""NorthernSweden""
[13] ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[17] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[21] ""ALFA""          
",N,,NC_000015.10
"[1] ""FAM184A""
",79987229,snv,"intron_variant,genic_upstream_transcript_variant",6,6:119112570,"[1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GoNL""          
[5] ""KOREAN""         ""NorthernSweden"" ""SGDP_PRJ""       ""TWINSUK""       
[9] ""ALFA""          
",D,,NC_000006.12
,62343939,snv,,5,5:4699328," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000005.10
,10253857,snv,,7,7:17673826," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",H,,NC_000007.14
"[1] ""SULT1C2""
",13424530,snv,intron_variant,2,2:108292945," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000002.12
,4802739,snv,,19,19:50760039," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""HapMap""         ""KOREAN""         ""Korea1K""       
 [9] ""MGP""            ""NorthernSweden"" ""PRJEB37584""     ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",H,,NC_000019.10
"[1] ""LOC105370802""
",17554587,snv,intron_variant,15,15:45744252," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000015.10
,17367669,snv,,5,5:122191027," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB36033""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",K,,NC_000005.10
"[1] ""GPNMB""
",199351,snv,intron_variant,7,7:23260430," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""FINRISK""        ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes"" 
 [9] ""GoESP""          ""GoNL""           ""HapMap""         ""KOREAN""        
[13] ""Korea1K""        ""MGP""            ""NorthernSweden"" ""PAGE_STUDY""    
[17] ""PRJEB37584""     ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[21] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[25] ""ALFA""          
",H,,NC_000007.14
"[1] ""SYBU""
",6469271,snv,"intron_variant,genic_upstream_transcript_variant",8,8:109632545," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000008.11
"[1] ""SH3GL2""
",10756905,snv,intron_variant,9,9:17726890," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000009.12
"[1] ""UBAP2""
",6476434,snv,"intron_variant,genic_upstream_transcript_variant",9,9:34046393," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000009.12
,118117788,snv,,10,10:119950976," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",Y,,NC_000010.11
"[1] ""PKP2""
",148163066,snv,intron_variant,12,12:32826971,"[1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
[5] ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""       ""TWINSUK""       
[9] ""ALFA""          
",N,,NC_000012.12
,4421827,snv,,12,12:33974571,"[1] ""1000Genomes""    ""ALSPAC""         ""GnomAD""         ""GoNL""          
[5] ""NorthernSweden"" ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""       
[9] ""ALFA""          
",R,,NC_000012.12
"[1] ""SLC2A13""
",28370650,snv,intron_variant,12,12:40006146," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""HapMap""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",W,,NC_000012.12
"[1] ""LINC02555""
",17442721,snv,non_coding_transcript_variant,12,12:40141971," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""TWINSUK""        ""ALFA""          
",B,,NC_000012.12
"[1] ""LRRK2""
",17443414,snv,"upstream_transcript_variant,intron_variant,genic_upstream_transcript_variant",12,12:40250950," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,benign,NC_000012.12
"[1] ""LOC105369736""
",190807041,snv,"intron_variant,genic_downstream_transcript_variant",12,12:40379882," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
 [9] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000012.12
,11177328,snv,,12,12:40583994," [1] ""1000Genomes"" ""GnomAD""      ""HapMap""      ""KOREAN""      ""Korea1K""    
 [6] ""SGDP_PRJ""    ""TOMMO""       ""TOPMED""      ""Vietnamese""  ""ALFA""       
",R,,NC_000012.12
,6582586,snv,,12,12:46022959," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",R,,NC_000012.12
"[1] ""PITPNM2""
",78299420,snv,"intron_variant,genic_upstream_transcript_variant",12,12:123086549," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",Y,,NC_000012.12
"[1] ""RILPL2""
",28659953,snv,intron_variant,12,12:123427666," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",H,,NC_000012.12
,11610045,snv,,12,12:132487182," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""PAGE_STUDY""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",R,,NC_000012.12
"[1] ""KPNA3""
",1127021,snv,"synonymous_variant,coding_sequence_variant",13,13:49721979," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""GENOME_DK""      ""GnomAD""         ""GoESP""          ""GoNL""          
 [9] ""HapMap""         ""KOREAN""         ""MGP""            ""NorthernSweden""
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000013.11
"[1] ""WDHD1""
",8018800,snv,intron_variant,14,14:54986588," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""PRJEB37584""    
[13] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[17] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",R,,NC_000014.9
,8012377,snv,,14,14:55724695," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOGRAPHIC""    ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",N,,NC_000014.9
"[1] ""AREL1""
",112288215,snv,intron_variant,14,14:74688182," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000014.9
"[1] ""USP8""  ""USP50""
",28648524,snv,"genic_downstream_transcript_variant,intron_variant",15,15:50495212," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",H,,NC_000015.10
"[1] ""LOC107984782""
",2251086,snv,"genic_upstream_transcript_variant,intron_variant",15,15:61705186," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",B,,NC_000015.10
"[1] ""NOD2""
",34133110,snv,"coding_sequence_variant,missense_variant,intron_variant",16,16:50710008," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""ExAC""          
 [5] ""GENOME_DK""      ""GnomAD""         ""GnomAD_exomes""  ""GoNL""          
 [9] ""KOREAN""         ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",Y,,NC_000016.10
"[1] ""MTF2""
",11164870,snv,intron_variant,1,1:93086630," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",B,,NC_000001.11
"[1] ""PMVK""
",114138760,snv,intron_variant,1,1:154925709," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GnomAD""        
 [5] ""GoNL""           ""NorthernSweden"" ""Qatari""         ""TOPMED""        
 [9] ""TWINSUK""        ""ALFA""          
",S,,NC_000001.11
"[1] ""DCST1""
",146143531,snv,intron_variant,1,1:155042492," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",K,,NC_000001.11
,35682329,snv,,1,1:155148667," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""MGP""            ""NorthernSweden"" ""TOPMED""        
 [9] ""TWINSUK""        ""ALFA""          
",R,,NC_000001.11
"[1] ""LMNA""
",10737170,snv,"intron_variant,genic_upstream_transcript_variant",1,1:156094089," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Daghestan""     
 [5] ""Estonian""       ""GENOME_DK""      ""GnomAD""         ""GoNL""          
 [9] ""HGDP_Stanford""  ""HapMap""         ""KOREAN""         ""Korea1K""       
[13] ""NorthernSweden"" ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[17] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[21] ""Vietnamese""     ""ALFA""          
",N,,NC_000001.11
"[1] ""CCT3""
",35161831,snv,intron_variant,1,1:156330940,"[1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
[5] ""GnomAD""         ""NorthernSweden"" ""TOPMED""         ""TWINSUK""       
[9] ""ALFA""          
",Y,,NC_000001.11
,6658353,snv,,1,1:161499264," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GoNL""           ""KOREAN""         ""Korea1K""        ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",B,,NC_000001.11
"[1] ""FCGR2B""
",17411858,snv,"intron_variant,genic_upstream_transcript_variant",1,1:161647726," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""HGDP_Stanford""  ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""PRJEB36033""     ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",R,,NC_000001.11
"[1] ""BALR6""
",1108439,snv,intron_variant,3,3:18159827," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""Vietnamese""     ""ALFA""          
",R,,NC_000003.12
"[1] ""PARP9""        ""LOC105374071""
",16833168,snv,"3_prime_UTR_variant,intron_variant,non_coding_transcript_variant",3,3:122535800," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""Korea1K""        ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""      
[13] ""Siberian""       ""TOMMO""          ""TOPMED""         ""TWINSUK""       
[17] ""ALFA""          
",N,,NC_000003.12
"[1] ""PIK3CA-DT""
",6806917,snv,intron_variant,3,3:179143629," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",Y,,NC_000003.12
"[1] ""LAMP3""
",71314284,snv,intron_variant,3,3:183160467," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000003.12
"[1] ""ADD1""
",16843452,snv,"intron_variant,genic_upstream_transcript_variant",4,4:2847441," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""ALFA""          
",B,,NC_000004.12
"[1] ""SCARB2""
",1550556,snv,intron_variant,4,4:76173388," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""ALFA""          
",Y,,NC_000004.12
"[1] ""SHROOM3""
",4859676,snv,intron_variant,4,4:76457698," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",V,,NC_000004.12
,114762839,snv,,4,4:89447394," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""SGDP_PRJ""       ""TOPMED""         ""TWINSUK""        ""ALFA""          
",R,,NC_000004.12
"[1] ""LOC105377329""
",79483792,snv,intron_variant,4,4:89582510," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""NorthernSweden""
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000004.12
"[1] ""LOC105377331""
",78327649,snv,intron_variant,4,4:90059181," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""NorthernSweden"" ""PAGE_STUDY""    
 [9] ""Qatari""         ""SGDP_PRJ""       ""Siberian""       ""TOMMO""         
[13] ""TOPMED""         ""TWINSUK""        ""ALFA""          
",S,,NC_000004.12
"[1] ""CCSER1""
",145138919,snv,"intron_variant,genic_downstream_transcript_variant",4,4:90531895,"[1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
[5] ""GoNL""           ""NorthernSweden"" ""SGDP_PRJ""       ""TWINSUK""       
[9] ""ALFA""          
",B,,NC_000004.12
,13117519,snv,,4,4:113447909," [1] ""1000Genomes""    ""ALSPAC""         ""Daghestan""      ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",Y,,NC_000004.12
"[1] ""CLCN3""
",7434295,snv,"intron_variant,genic_upstream_transcript_variant",4,4:169642795," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""KOREAN""         ""Korea1K""       
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",N,,NC_000004.12
"[1] ""DDX46""
",11956597,snv,intron_variant,5,5:134763068," [1] ""1000Genomes""    ""ALSPAC""         ""GENOME_DK""      ""GnomAD""        
 [5] ""GoNL""           ""KOREAN""         ""NorthernSweden"" ""Qatari""        
 [9] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[13] ""TWINSUK""        ""ALFA""          
",W,,NC_000005.10
,9393826,snv,,6,6:27584991," [1] ""1000Genomes""    ""ALSPAC""         ""Estonian""       ""GENOME_DK""     
 [5] ""GnomAD""         ""GoNL""           ""HapMap""         ""KOREAN""        
 [9] ""NorthernSweden"" ""Qatari""         ""SGDP_PRJ""       ""Siberian""      
[13] ""TOMMO""          ""TOPMED""         ""TWINSUK""        ""Vietnamese""    
[17] ""ALFA""          
",M,,NC_000006.12
"[1] ""MED12L""
",6803771,snv,"intron_variant,genic_downstream_transcript_variant",3,3:151395180," [1] ""1000Genomes""    ""ALSPAC""         ""Chileans""       ""Estonian""      
 [5] ""GENOME_DK""      ""GnomAD""         ""GoNL""           ""HapMap""        
 [9] ""KOREAN""         ""Korea1K""        ""NorthernSweden"" ""Qatari""        
[13] ""SGDP_PRJ""       ""Siberian""       ""TOMMO""          ""TOPMED""        
[17] ""TWINSUK""        ""Vietnamese""     ""ALFA""          
",M,,NC_000003.12
