MAPPED_GENE,SNP ID,DISEASE/TRAIT,CHR_ID,P-VALUE,INITIAL SAMPLE SIZE
LRRK2,rs34594498,Parkinson's disease,12,4e-20,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
LRRK2,rs1491942,Parkinson's disease,12,6e-15,"2,197 cases, 2,061 controls"
LRRK2 - MUC19,rs190807041,Parkinson's disease,12,7e-11,"4,639 Spanish ancestry cases, 2,949 Spanish ancestry controls"
LRRK2 - MUC19,rs190807041,Parkinson's disease,12,1e-13,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
"LRRK2-DT, LRRK2",rs76904798,Parkinson's disease,12,5e-14,"13,708 European ancestry cases, 95,282 European ancestry controls"
"LRRK2-DT, LRRK2",rs76904798,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,2.0000000000000002e-28,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
"LRRK2-DT, LRRK2",rs76904798,Parkinson's disease,12,1e-19,"20,184 European ancestry cases, 397,324 European ancestry controls"
LTK,rs316619,Parkinson's disease,15,7e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
LZTS3 - DDRGK1,rs8118008,Parkinson's disease,20,3e-11,"13,708 European ancestry cases, 95,282 European ancestry controls"
LZTS3 - DDRGK1,rs4815573,Parkinson's disease,20,6e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
LZTS3 - DDRGK1,rs2295545,Parkinson's disease or first degree relation to individual with Parkinson's disease,20,8e-11,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
LZTS3 - DDRGK1,rs8118008,Parkinson's disease,20,2e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
MACF1,rs71642678,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,1,2e-07,"2,784 European ancestry individuals"
MAD1L1,rs4721411,Parkinson disease axial motor severity,7,2e-07,"3,572 European ancestry individuals"
MAP4K4,rs11683001,Parkinson's disease or first degree relation to individual with Parkinson's disease,2,8e-13,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
MAP4K4,rs11683001,Parkinson's disease,2,2e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MAP4K4,rs34043159,Parkinson's disease,2,5e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
MAPT,rs713522,Parkinson's disease,17,1e-38,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MAPT,rs17649553,Parkinson's disease,17,1e-68,"20,184 European ancestry cases, 397,324 European ancestry controls"
MAPT,rs8070723,Parkinson's disease,17,7e-12,"1,705 European ancestry cases, 5,175 European ancestry controls"
MAPT,rs17649553,Parkinson's disease,17,2e-48,"13,708 European ancestry cases, 95,282 European ancestry controls"
MAPT-AS1,rs7221167,Parkinson's disease,17,3e-08,"5,167 European ancestry cases, 5,366 European ancestry controls"
MAPT-AS1,rs7221167,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,1e-37,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
"MAPT-AS1, SPPL2C",rs12185268,Parkinson's disease,17,3e-14,"3,426 European ancestry cases, 29,624 European ancestry controls"
MCCC1,rs11711441,Parkinson's disease,3,8e-12,"5,333 European ancestry cases, 12,019 European ancestry controls"
MCCC1,rs10513789,Parkinson's disease,3,6e-50,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MCCC1,rs2270968,Parkinson's disease,3,3e-08,"779 Han Chinese ancestry cases, 13,227 Han Chinese ancestry controls"
MCCC1,rs10513789,Parkinson's disease,3,4e-17,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
MCCC1,rs12637471,Parkinson's disease,3,1.9999999999999998e-30,"20,184 European ancestry cases, 397,324 European ancestry controls"
MCCC1,rs12637471,Parkinson's disease,3,2e-21,"13,708 European ancestry cases, 95,282 European ancestry controls"
MCCC1,rs10513789,Parkinson's disease,3,3e-10,"3,426 European ancestry cases, 29,624 European ancestry controls"
MCCC1,rs10513789,Parkinson's disease or first degree relation to individual with Parkinson's disease,3,1.0000000000000001e-34,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
MCCC1,rs140278703,Parkinson's disease,3,2e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
"MCCC1, MCCC1-AS1",rs2292056,Parkinson's disease,3,8e-17,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
MCTP2,rs11634227,Parkinson's disease progression (composite),15,1e-06,"2,755 individuals"
MCTP2,rs72767442,Parkinson's disease progression (motor),15,2e-06,"2,848 individuals"
"MDGA2, RPA2P1",rs9323124,Parkinson's disease,14,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
MED12L,rs6803771,Parkinson's disease,3,5e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MED12L,rs11707416,Parkinson's disease or first degree relation to individual with Parkinson's disease,3,1e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
MED12L,rs2276765,Parkinson's disease,3,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
MED13,rs148528915,Parkinson's disease,17,5e-10,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MEFV,rs11466021,Impulse control disorders in Parkinson’s disease,16,1e-06,"1,976 European ancestry cases, 3,286 European ancestry controls"
MIPOL1,rs12147950,Parkinson's disease or first degree relation to individual with Parkinson's disease,14,4e-08,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
MIPOL1,rs1956438,Parkinson's disease,14,2e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MIR4485 - RNF141,rs4910150,Parkinson's disease,11,1e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MIR663AHG - FRG1CP,rs816535,Parkinson disease and lewy body pathology,20,1e-06,"484 European ancestry cases, 1,145 European ancestry controls"
MLX,rs665268,Parkinson's disease,17,2e-07,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MMRN1,rs79214011,Parkinson's disease,4,1e-16,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MMRN1 - CCSER1,rs78327649,Parkinson's disease,4,2e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MROH3P,rs4915466,Parkinson's disease,1,1e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
MSR1 - RN7SL474P,rs34096562,Parkinson's disease,8,6e-17,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MSR1 - RN7SL474P,rs620513,Parkinson's disease or first degree relation to individual with Parkinson's disease,8,3e-15,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
MSR1 - RN7SL474P,rs591323,Parkinson's disease,8,7e-08,"13,708 European ancestry cases, 95,282 European ancestry controls"
MSR1 - RN7SL474P,rs11203810,Parkinson's disease,8,2e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
MSR1 - RN7SL474P,rs591323,Parkinson's disease,8,2e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
MTF2,rs11164870,Parkinson's disease,1,3e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MTND1P22 - GUCY1A1,rs17377936,Parkinson disease,4,2e-06,"6,868 cases, 204 controls"
MTND1P24 - LINC02400,rs144029582,Parkinson's disease,12,4e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
MUC1,rs4072037,Parkinson disease,1,1e-06,"6,868 cases, 204 controls"
MUC12,rs78837976,Parkinson's disease,7,3e-18,"5,167 European ancestry cases, 5,366 European ancestry controls"
MUC19,rs141128804,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,6e-14,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
MUC19,rs117073808,Parkinson's disease or first degree relation to individual with Parkinson's disease,12,2e-20,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
MUC19 - CNTN1,rs11177328,Parkinson's disease,12,3e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MX2,rs78736162,Parkinson disease and lewy body pathology,21,3e-07,"484 European ancestry cases, 1,145 European ancestry controls"
MYL6P5 - ROCR,rs2430514,cognitive impairment (MoCA score) in Parkinson’s disease,17,8e-06,"222 Korean ancestry MoCA score <24 individuals, 272 Korean ancestry MoCA score >=24 individuals"
MYLK2,rs6060983,Parkinson's disease,20,4e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
MYLK2,rs6060983,Parkinson's disease,20,6e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
Metazoa_SRP - NUCKS1,rs12748961,Parkinson's disease,1,5e-06,"496 East Asian ancestry male cases, 2,390 East Asian ancestry male controls"
Metazoa_SRP - NUCKS1,rs12118655,Parkinson's disease,1,1.9999999999999998e-32,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
NABP1 - CAVIN2,rs4073509,Parkinson disease axial motor progression,2,2e-07,"3,572 European ancestry individuals"
NAGLU - HSD17B1P1,rs601999,Parkinson's disease,17,7e-08,"9,619 European ancestry cases, 324,522 European ancestry controls"
NDUFAF2,rs2694528,Parkinson's disease,5,5e-15,"20,184 European ancestry cases, 397,324 European ancestry controls"
NDUFAF2,rs162227,Parkinson's disease,5,1e-08,"9,619 European ancestry cases, 324,522 European ancestry controls"
NGEF,rs113732002,Parkinson's disease,2,3e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
NIBAN2,rs10760490,Motor fluctuations in levodopa treated Parkinson's disease,9,7e-06,"219 Korean ancestry cases, 522 Korean ancestry controls"
NKAIN3,rs151059677,Parkinson's disease progression (cognitive),8,6e-08,"2,650 European and unknown ancestry individuals"
NOD2,rs6500328,Parkinson's disease or first degree relation to individual with Parkinson's disease,16,2e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
NOD2,rs34133110,Parkinson's disease,16,1e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
NR1D2,rs113730632,Parkinson's disease progression (cognitive),3,2e-06,"2,788 individuals"
NSF,rs199453,Parkinson's disease,17,1e-61,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
NSF,rs183211,Parkinson's disease,17,3e-07,"268 Ashkenazi Jewish cases, 178 Ashkenazi Jewish controls"
NSF,rs199533,Parkinson's disease,17,1e-06,"2,000 European ancestry cases, 1,986 European ancestry controls"
NSF,rs199533,Parkinson's disease,17,1e-14,"1,713 European ancestry cases, 3,978 European ancestry controls"
NSF,rs199453,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,9e-67,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
NTRK1,rs58519469,Parkinson disease,1,3e-06,"6,868 cases, 204 controls"
NUCKS1,rs823128,Parkinson's disease,1,7e-08,"1,713 European ancestry cases, 3,978 European ancestry controls"
NUCKS1,rs3805,Parkinson's disease,1,4e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
NUCKS1 - RAB29,rs823118,Parkinson's disease,1,6e-12,"9,619 European ancestry cases, 324,522 European ancestry controls"
NUCKS1 - RAB29,rs823118,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,1.0000000000000001e-29,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
NUCKS1 - RAB29,rs823118,Parkinson's disease,1,1.0000000000000001e-23,"20,184 European ancestry cases, 397,324 European ancestry controls"
NUCKS1 - RAB29,rs823118,Parkinson's disease,1,1.0000000000000001e-23,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
NUCKS1 - RAB29,rs823118,Parkinson's disease,1,2e-16,"13,708 European ancestry cases, 95,282 European ancestry controls"
NUCKS1 - RAB29,rs823114,Parkinson's disease,1,3e-06,"1,130 Ashkenazi Jewish cases, 2,611 Ashkenazi Jewish controls"
NXPE2 - CADM1,rs4436579,Parkinson's disease progression (motor),11,7e-06,"2,848 individuals"
ODAPH,rs17000647,Parkinson's disease (motor and cognition),4,5e-06,443 European ancestry cases
OR5AZ1P - OR5BD1P,rs687432,Parkinson's disease,11,2e-09,"9,619 European ancestry cases, 324,522 European ancestry controls"
P2RX5 - ITGAE,rs117672332,Parkinson's disease,17,2e-15,"5,167 European ancestry cases, 5,366 European ancestry controls"
PAM,rs10463554,Parkinson's disease,5,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
PAM - EIF3KP1,rs26431,Parkinson's disease or first degree relation to individual with Parkinson's disease,5,2e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
PARP9,rs16833168,Parkinson's disease,3,3e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PARP9,rs55740225,Parkinson's disease,3,3e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
PAX7 - TAS1R2,rs12063142,Parkinson's disease,1,5e-07,"1,752 European ancestry cases, 1,745 European ancestry controls"
PBXIP1,rs116114495,Parkinson disease,1,2.0000000000000002e-39,"6,868 cases, 204 controls"
PCGF3,rs11729193,Parkinson's disease,4,2e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PDCL2P1 - PTCHD1,rs111841435,Parkinson's disease,X,4e-06,"6,451 European ancestry male cases, 3,551 European ancestry male proxy cases, 251,229 European ancestry controls"
PDGFB - RPL3,rs12628329,Mortality in Parkinson's disease,22,3e-08,"85 Chinese ancestry cases, 995 Chinese ancestry controls"
PDLIM2,rs11783129,Parkinson's disease,8,6e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PFDN1P2 - CD38,rs12651314,Parkinson's disease,4,2e-11,"20,184 European ancestry cases, 397,324 European ancestry controls"
PGS1,rs77483524,Parkinson's disease,17,3e-07,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PHB1P21,rs10221156,Parkinson's disease or first degree relation to individual with Parkinson's disease,16,1e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
PI15 - CRISPLD1,rs2956605,Parkinson's disease progression (cognitive),8,4e-06,"2,788 individuals"
PIGL,rs11650438,Parkinson's disease,17,1e-07,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PIK3CA,rs7636454,Parkinson's disease,3,3e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PIK3CA-DT,rs6806917,Parkinson's disease,3,3e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PITPNM2,rs78299420,Parkinson's disease,12,3e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PKP2,rs148163066,Parkinson's disease,12,7e-11,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PLA2G10FP - SPRING1P3,rs180924818,Time to levodopa-induced-dyskinesia onset in Parkinson's disease,16,8e-08,"2,784 European ancestry individuals"
PLEKHM1,rs11012,Parkinson's disease,17,6e-08,"1,752 European ancestry cases, 1,745 European ancestry controls"
PLPP4,rs12771445,Parkinson's disease,10,1e-08,"929 Swedish ancestry cases, 935 Swedish ancestry controls"
PLPPR1,rs73656147,Parkinson's disease (age at diagnosis),9,9e-09,"1,950 European ancestry cases"
PMF1-BGLAP,rs1800247,Parkinson disease,1,8e-10,"6,868 cases, 204 controls"
PMVK,rs114138760,Parkinson's disease,1,3e-09,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PMVK,rs114138760,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,4e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
POLR2A,rs117248307,Parkinson's disease progression (cognitive),17,7e-07,"2,650 European and unknown ancestry individuals"
POLR3B - RFX4,rs4964469,Parkinson's disease,12,2e-07,"1,039 European ancestry cases, 1,984 European ancestry controls"
PPP6R2,rs10775809,Parkinson's disease,22,6e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
PRDM15,rs2839398,Parkinson's disease,21,5e-06,"4,238 European ancestry cases, 4,239 European ancestry controls"
PRKAG2,rs2302532,Impulse control disorders in Parkinson’s disease,7,6e-07,"1,976 European ancestry cases, 3,286 European ancestry controls"
PRKCE,rs78448334,Impulse control disorders in Parkinson’s disease,2,1e-06,"1,976 European ancestry cases, 3,286 European ancestry controls"
PRKN,rs9356013,Parkinson's disease (age of onset),6,4e-13,"3,997 Spanish ancestry individuals"
PRRG4 - QSER1,rs10767971,Parkinson's disease (age of onset),11,5e-07,"857 European ancestry familial cases, 440 idiopathic cases"
PSMA6P4 - RPL7AP61,rs9516970,Parkinson's disease,13,5e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
PTPRD,rs7870456,Parkinson's disease progression (motor),9,2e-06,"2,848 individuals"
PWRN4,rs9783733,Parkinson's disease (age of onset),15,3e-09,"3,456 Chinese ancestry individuals"
RAB29,rs11557080,Parkinson's disease,1,1.0000000000000001e-24,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
RAB29,rs11557080,Parkinson's disease or first degree relation to individual with Parkinson's disease,1,3e-22,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RAB29,rs708723,Parkinson's disease,1,7e-08,"1,050 East Asian ancestry cases, 5,000 East Asian ancestry controls"
RAB29 - SLC41A1,rs947211,Parkinson's disease,1,2e-12,"988 Japanese ancestry cases, 2,521 Japanese ancestry controls"
RAB29 - SLC41A1,rs6679073,Parkinson's disease,1,4e-21,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
RAB29 - SLC41A1,rs947211,Parkinson's disease,1,3e-06,"496 East Asian ancestry male cases, 2,390 East Asian ancestry male controls"
"RABEP2, CD19",rs2904880,Parkinson's disease or first degree relation to individual with Parkinson's disease,16,8e-10,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RBMS3,rs7617877,Parkinson's disease,3,3e-06,"1,705 European ancestry cases, 5,175 European ancestry controls"
RBMS3,rs6808178,Parkinson's disease,3,6e-12,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RBMS3,rs6808178,Parkinson's disease or first degree relation to individual with Parkinson's disease,3,8e-12,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RBX1 - Y_RNA,rs73174657,Parkinson's disease,22,5e-07,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
"RERE, RERE-AS1",rs302714,Parkinson's disease,1,4e-06,"20,184 European ancestry cases, 397,324 European ancestry controls"
RESF1 - BICD1-AS1,rs77669894,Parkinson's disease,12,4e-08,"20,184 European ancestry cases, 397,324 European ancestry controls"
RETREG3,rs12951632,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,1e-09,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RILPL2,rs28659953,Parkinson's disease,12,3e-08,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RIMS2,rs182987047,Parkinson's disease progression (cognitive),8,3e-11,"2,650 European and unknown ancestry individuals"
RIT1,rs1749409,Parkinson disease,1,3e-34,"6,868 cases, 204 controls"
RIT1,rs670523,Parkinson disease,1,1e-06,"6,868 cases, 204 controls"
RIT2,rs12456492,Parkinson's disease or first degree relation to individual with Parkinson's disease,18,4.0000000000000004e-23,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RIT2,rs4588066,Parkinson's disease,18,2.0000000000000002e-28,"57,893 European ancestry cases, 1,505,102 European ancestry controls, 7,046 East Asian ancestry cases, 176,756 East Asian ancestry controls, 2,440 Hispanic or Latin American cases, 582,220 Hispanic or Latin American controls, 288 African ancestry cases, 193,985 African ancestry controls"
RIT2,rs4130047,Parkinson's disease,18,5e-08,"6,724 East Asian ancestry cases, 24,851 East Asian ancestry controls"
RIT2,rs12456492,Parkinson's disease,18,2e-09,"20,184 European ancestry cases, 397,324 European ancestry controls"
RIT2,rs12456492,Parkinson's disease,18,2e-10,"4,238 European ancestry cases, 4,239 European ancestry controls"
RIT2,rs12456492,Parkinson's disease,18,2e-07,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
RIT2,rs4130047,Parkinson's disease,18,2e-07,"3,426 European ancestry cases, 29,624 European ancestry controls"
RIT2,rs12456492,Parkinson's disease,18,6e-16,"20,184 European ancestry cases, 397,324 European ancestry controls"
RIT2,rs4130047,Parkinson's disease,18,2e-10,"9,619 European ancestry cases, 324,522 European ancestry controls"
RIT2,rs12456492,Parkinson's disease,18,8e-12,"13,708 European ancestry cases, 95,282 European ancestry controls"
RN7SKP190 - CDH13,rs13330839,Parkinson's disease motor subtype (tremor dominant vs postural instability/gait difficulty),16,7e-06,"1,570 European ancestry tremor dominant cases, 1,259 European ancestry postural instability/gait difficulty cases"
RN7SL261P - GJA5,rs6593808,Parkinson disease axial motor progression,1,1e-10,"3,572 European ancestry individuals"
RN7SL869P - RN7SL35P,rs1949132,Parkinson's disease,7,7e-06,"496 East Asian ancestry male cases, 2,390 East Asian ancestry male controls"
RNA5SP144 - LARP7P4,rs181870458,Parkinson's disease,3,2e-07,"20,184 European ancestry cases, 397,324 European ancestry controls"
RNA5SP286 - RORB-AS1,rs10746953,Parkinson's disease,9,1e-06,"250 Han Chinese ancestry cases, 250 Han Chinese ancestry controls"
RNA5SP443 - ARHGAP27,rs17686238,Parkinson's disease or first degree relation to individual with Parkinson's disease,17,8e-27,"15,056 European ancestry cases, 18,618 European ancestry proxy cases, 449,056 European ancestry controls"
RNA5SP74 - LRRN2,rs16854023,Levodopa wearing off effect (time symptoms uncontrolled) in Parkinson's disease (response to zonisamide),1,4e-08,"67 Japanese ancestry responders, 133 Japanese ancestry poor responders"
RNF141,rs7938782,Parkinson's disease,11,1e-05,"1,972 Chinese ancestry cases, 2,478 Chinese ancestry controls"
